algorithm,dataset,accuracy,precision,recall,f1,mean_score
Random Forest,smote,0.9874,0.986658131220187,0.9874,0.9868884630549808,0.9870866485687919
Random Forest,original,0.9862,0.9870082518679153,0.9862,0.9864612210426913,0.9864673682276517
Decision Tree,smote,0.9837,0.9838454047899023,0.9837,0.9836774570902315,0.9837307154700334
Decision Tree,original,0.9765,0.9811582585207438,0.9765,0.9784297149206541,0.9781469933603495
k-NN,original,0.9147,0.9116422679337159,0.9147,0.9119784070592543,0.9132551687482425
k-NN,smote,0.903,0.9115571884581665,0.903,0.9055521094122673,0.9057773244676085
SVM,smote,0.692,0.8423372847052436,0.692,0.7236650936134227,0.7375005945796665
SVM,original,0.685,0.8380717930701569,0.685,0.7160796699246337,0.7310378657486977
